id_curso,nombre,descripcion,categoria,fecha_creacion
1,Python para Analisis de Datos,Española millones armas señor diferentes punto llegado junio condiciones carácter esos nunca posibilidades solamente arriba tierra.,Datos,2024-02-19
2,Fundamentos de SQL,Difícil vida texto ley poner pie hijo solución.,Datos,2024-08-06
3,Introduccion al Machine Learning,Tanto comisión nombre ayer solo deja información música silencio amor trabajadores mes.,Datos,2024-09-24
4,Desarrollo Web con JavaScript,Mil actividades haciendo opinión actividad habrá suelo ante muy esta explicó ante tu pasar razón.,Programacion,2024-03-15
5,Fundamentos de Programacion en Python,Capital médico toda especial según valor quién marzo este acción paz suficiente ciencia menos políticas.,Programacion,2024-07-27
6,Estructuras de Datos y Algoritmos,Así muchas generales martín suerte ella bajo buenos r mi claro vuelve.,Programacion,2024-08-12
7,Diseno de Experiencia de Usuario (UX),Bien ideas agua acuerdo zonas quienes entonces busca que puso.,Diseno,2023-09-21
8,Diseno Grafico Digital,Televisión tenían hacer señaló millones últimos expresión izquierda una.,Diseno,2023-12-24
9,Marketing Digital,Mucho europa estos parte datos tengo podemos.,Negocios,2024-05-17
10,Gestion de Proyectos Agiles,Países debido principales pequeña amigos manos sangre sobre términos hija ir caso momentos sector.,Negocios,2023-08-02
11,Excel Avanzado para Negocios,Evitar él hora lleva hacen voz afirmó tenido miembros conocer menos precisamente.,Negocios,2024-10-21
12,Ciberseguridad Basica,Valores ejemplo julio desarrollo español miembros diferentes dijo actual partes puerta cómo carne donde principios.,Tecnologia,2023-08-12
